group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-addition-mutable-small-group,array-mutable,,,,888717.0,ns,3327
internal-vector-addition-mutable-small-group,array-mutable,,,,2245873.0,ns,6654
internal-vector-addition-mutable-small-group,array-mutable,,,,3911138.0,ns,9981
internal-vector-addition-mutable-small-group,array-mutable,,,,5171596.0,ns,13308
internal-vector-addition-mutable-small-group,array-mutable,,,,6593462.0,ns,16635
internal-vector-addition-mutable-small-group,array-mutable,,,,8028452.0,ns,19962
internal-vector-addition-mutable-small-group,array-mutable,,,,8404558.0,ns,23289
internal-vector-addition-mutable-small-group,array-mutable,,,,7576060.0,ns,26616
internal-vector-addition-mutable-small-group,array-mutable,,,,8615335.0,ns,29943
internal-vector-addition-mutable-small-group,array-mutable,,,,9804191.0,ns,33270
internal-vector-addition-mutable-small-group,array-mutable,,,,10795036.0,ns,36597
internal-vector-addition-mutable-small-group,array-mutable,,,,11772682.0,ns,39924
internal-vector-addition-mutable-small-group,array-mutable,,,,12770367.0,ns,43251
internal-vector-addition-mutable-small-group,array-mutable,,,,13738401.0,ns,46578
internal-vector-addition-mutable-small-group,array-mutable,,,,14620001.0,ns,49905
internal-vector-addition-mutable-small-group,array-mutable,,,,15763879.0,ns,53232
internal-vector-addition-mutable-small-group,array-mutable,,,,16547648.0,ns,56559
internal-vector-addition-mutable-small-group,array-mutable,,,,17723646.0,ns,59886
internal-vector-addition-mutable-small-group,array-mutable,,,,18426026.0,ns,63213
internal-vector-addition-mutable-small-group,array-mutable,,,,20369823.0,ns,66540
internal-vector-addition-mutable-small-group,array-mutable,,,,20597164.0,ns,69867
internal-vector-addition-mutable-small-group,array-mutable,,,,21581638.0,ns,73194
internal-vector-addition-mutable-small-group,array-mutable,,,,22556475.0,ns,76521
internal-vector-addition-mutable-small-group,array-mutable,,,,23651273.0,ns,79848
internal-vector-addition-mutable-small-group,array-mutable,,,,24517796.0,ns,83175
internal-vector-addition-mutable-small-group,array-mutable,,,,25662624.0,ns,86502
internal-vector-addition-mutable-small-group,array-mutable,,,,26630875.0,ns,89829
internal-vector-addition-mutable-small-group,array-mutable,,,,27614688.0,ns,93156
internal-vector-addition-mutable-small-group,array-mutable,,,,28517920.0,ns,96483
internal-vector-addition-mutable-small-group,array-mutable,,,,29596889.0,ns,99810
internal-vector-addition-mutable-small-group,array-mutable,,,,30499697.0,ns,103137
internal-vector-addition-mutable-small-group,array-mutable,,,,31576594.0,ns,106464
