group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,981541.0,ns,3788
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,2030934.0,ns,7576
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,2955156.0,ns,11364
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,4046909.0,ns,15152
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,4950656.0,ns,18940
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,7484414.0,ns,22728
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,7445809.0,ns,26516
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,8093140.0,ns,30304
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,8989746.0,ns,34092
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,9850978.0,ns,37880
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,10821688.0,ns,41668
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,11774225.0,ns,45456
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,12744850.0,ns,49244
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,13796379.0,ns,53032
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,14707412.0,ns,56820
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,15687822.0,ns,60608
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,16706222.0,ns,64396
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,17664390.0,ns,68184
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,18645335.0,ns,71972
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,19698650.0,ns,75760
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,20637760.0,ns,79548
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,21572483.0,ns,83336
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,22568029.0,ns,87124
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,23539456.0,ns,90912
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,24648024.0,ns,94700
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,25510699.0,ns,98488
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,26480703.0,ns,102276
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,27501984.0,ns,106064
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,28478401.0,ns,109852
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,29514203.0,ns,113640
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,30485744.0,ns,117428
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,31417922.0,ns,121216
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,32403042.0,ns,125004
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,33334718.0,ns,128792
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,34401228.0,ns,132580
internal-vector-addition-mutable-small-group,stdvec-mutable,,,,35343452.0,ns,136368
