group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-addition-reference-small-group,array-reference,,,,1014772.0,ns,702
internal-vector-addition-reference-small-group,array-reference,,,,2096729.0,ns,1404
internal-vector-addition-reference-small-group,array-reference,,,,2996777.0,ns,2106
internal-vector-addition-reference-small-group,array-reference,,,,4096809.0,ns,2808
internal-vector-addition-reference-small-group,array-reference,,,,5020077.0,ns,3510
internal-vector-addition-reference-small-group,array-reference,,,,8010864.0,ns,4212
internal-vector-addition-reference-small-group,array-reference,,,,11325343.0,ns,4914
internal-vector-addition-reference-small-group,array-reference,,,,9268835.0,ns,5616
internal-vector-addition-reference-small-group,array-reference,,,,8928600.0,ns,6318
internal-vector-addition-reference-small-group,array-reference,,,,9998309.0,ns,7020
internal-vector-addition-reference-small-group,array-reference,,,,10894578.0,ns,7722
internal-vector-addition-reference-small-group,array-reference,,,,11829639.0,ns,8424
internal-vector-addition-reference-small-group,array-reference,,,,12625994.0,ns,9126
internal-vector-addition-reference-small-group,array-reference,,,,13725875.0,ns,9828
internal-vector-addition-reference-small-group,array-reference,,,,14641286.0,ns,10530
internal-vector-addition-reference-small-group,array-reference,,,,15646619.0,ns,11232
internal-vector-addition-reference-small-group,array-reference,,,,16596466.0,ns,11934
internal-vector-addition-reference-small-group,array-reference,,,,17663363.0,ns,12636
internal-vector-addition-reference-small-group,array-reference,,,,18594072.0,ns,13338
internal-vector-addition-reference-small-group,array-reference,,,,21355377.0,ns,14040
internal-vector-addition-reference-small-group,array-reference,,,,20615476.0,ns,14742
internal-vector-addition-reference-small-group,array-reference,,,,21752680.0,ns,15444
internal-vector-addition-reference-small-group,array-reference,,,,22406970.0,ns,16146
internal-vector-addition-reference-small-group,array-reference,,,,23468997.0,ns,16848
internal-vector-addition-reference-small-group,array-reference,,,,24578830.0,ns,17550
internal-vector-addition-reference-small-group,array-reference,,,,25521795.0,ns,18252
internal-vector-addition-reference-small-group,array-reference,,,,26750867.0,ns,18954
internal-vector-addition-reference-small-group,array-reference,,,,27538323.0,ns,19656
internal-vector-addition-reference-small-group,array-reference,,,,28443361.0,ns,20358
internal-vector-addition-reference-small-group,array-reference,,,,29357852.0,ns,21060
internal-vector-addition-reference-small-group,array-reference,,,,30300819.0,ns,21762
internal-vector-addition-reference-small-group,array-reference,,,,31379467.0,ns,22464
internal-vector-addition-reference-small-group,array-reference,,,,32427849.0,ns,23166
internal-vector-addition-reference-small-group,array-reference,,,,33245819.0,ns,23868
internal-vector-addition-reference-small-group,array-reference,,,,34341540.0,ns,24570
internal-vector-addition-reference-small-group,array-reference,,,,35317159.0,ns,25272
internal-vector-addition-reference-small-group,array-reference,,,,36224821.0,ns,25974
internal-vector-addition-reference-small-group,array-reference,,,,37227000.0,ns,26676
internal-vector-addition-reference-small-group,array-reference,,,,38238721.0,ns,27378
internal-vector-addition-reference-small-group,array-reference,,,,39314176.0,ns,28080
internal-vector-addition-reference-small-group,array-reference,,,,40172360.0,ns,28782
internal-vector-addition-reference-small-group,array-reference,,,,41291481.0,ns,29484
internal-vector-addition-reference-small-group,array-reference,,,,42166430.0,ns,30186
internal-vector-addition-reference-small-group,array-reference,,,,43550256.0,ns,30888
internal-vector-addition-reference-small-group,array-reference,,,,44328322.0,ns,31590
internal-vector-addition-reference-small-group,array-reference,,,,45070747.0,ns,32292
internal-vector-addition-reference-small-group,array-reference,,,,46107927.0,ns,32994
internal-vector-addition-reference-small-group,array-reference,,,,47371399.0,ns,33696
internal-vector-addition-reference-small-group,array-reference,,,,48410608.0,ns,34398
internal-vector-addition-reference-small-group,array-reference,,,,49079745.0,ns,35100
internal-vector-addition-reference-small-group,array-reference,,,,49611508.0,ns,35802
internal-vector-addition-reference-small-group,array-reference,,,,51011956.0,ns,36504
internal-vector-addition-reference-small-group,array-reference,,,,51942541.0,ns,37206
internal-vector-addition-reference-small-group,array-reference,,,,52717087.0,ns,37908
internal-vector-addition-reference-small-group,array-reference,,,,53604600.0,ns,38610
internal-vector-addition-reference-small-group,array-reference,,,,55101915.0,ns,39312
internal-vector-addition-reference-small-group,array-reference,,,,55806400.0,ns,40014
internal-vector-addition-reference-small-group,array-reference,,,,57328562.0,ns,40716
internal-vector-addition-reference-small-group,array-reference,,,,57645426.0,ns,41418
internal-vector-addition-reference-small-group,array-reference,,,,58647030.0,ns,42120
internal-vector-addition-reference-small-group,array-reference,,,,59960955.0,ns,42822
internal-vector-addition-reference-small-group,array-reference,,,,60245646.0,ns,43524
internal-vector-addition-reference-small-group,array-reference,,,,61465105.0,ns,44226
internal-vector-addition-reference-small-group,array-reference,,,,62677862.0,ns,44928
internal-vector-addition-reference-small-group,array-reference,,,,63611938.0,ns,45630
internal-vector-addition-reference-small-group,array-reference,,,,65147545.0,ns,46332
internal-vector-addition-reference-small-group,array-reference,,,,65776296.0,ns,47034
internal-vector-addition-reference-small-group,array-reference,,,,66456974.0,ns,47736
internal-vector-addition-reference-small-group,array-reference,,,,67424951.0,ns,48438
internal-vector-addition-reference-small-group,array-reference,,,,68849195.0,ns,49140
internal-vector-addition-reference-small-group,array-reference,,,,69682807.0,ns,49842
internal-vector-addition-reference-small-group,array-reference,,,,70889118.0,ns,50544
internal-vector-addition-reference-small-group,array-reference,,,,71812010.0,ns,51246
internal-vector-addition-reference-small-group,array-reference,,,,72917025.0,ns,51948
internal-vector-addition-reference-small-group,array-reference,,,,73955849.0,ns,52650
internal-vector-addition-reference-small-group,array-reference,,,,74631130.0,ns,53352
internal-vector-addition-reference-small-group,array-reference,,,,75645974.0,ns,54054
internal-vector-addition-reference-small-group,array-reference,,,,76761875.0,ns,54756
internal-vector-addition-reference-small-group,array-reference,,,,77777746.0,ns,55458
internal-vector-addition-reference-small-group,array-reference,,,,79531292.0,ns,56160
internal-vector-addition-reference-small-group,array-reference,,,,80160466.0,ns,56862
internal-vector-addition-reference-small-group,array-reference,,,,80583648.0,ns,57564
internal-vector-addition-reference-small-group,array-reference,,,,82079888.0,ns,58266
internal-vector-addition-reference-small-group,array-reference,,,,82171340.0,ns,58968
internal-vector-addition-reference-small-group,array-reference,,,,83874567.0,ns,59670
internal-vector-addition-reference-small-group,array-reference,,,,84617223.0,ns,60372
internal-vector-addition-reference-small-group,array-reference,,,,85467698.0,ns,61074
internal-vector-addition-reference-small-group,array-reference,,,,86539927.0,ns,61776
internal-vector-addition-reference-small-group,array-reference,,,,87221491.0,ns,62478
internal-vector-addition-reference-small-group,array-reference,,,,88831590.0,ns,63180
internal-vector-addition-reference-small-group,array-reference,,,,89615088.0,ns,63882
internal-vector-addition-reference-small-group,array-reference,,,,90359335.0,ns,64584
internal-vector-addition-reference-small-group,array-reference,,,,91712029.0,ns,65286
internal-vector-addition-reference-small-group,array-reference,,,,92656613.0,ns,65988
internal-vector-addition-reference-small-group,array-reference,,,,93620877.0,ns,66690
internal-vector-addition-reference-small-group,array-reference,,,,94744740.0,ns,67392
internal-vector-addition-reference-small-group,array-reference,,,,95336577.0,ns,68094
internal-vector-addition-reference-small-group,array-reference,,,,96444938.0,ns,68796
internal-vector-addition-reference-small-group,array-reference,,,,97668580.0,ns,69498
internal-vector-addition-reference-small-group,array-reference,,,,97681188.0,ns,70200
