group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-addition-reference-small-group,stdvec-reference,,,,928054.0,ns,2620
internal-vector-addition-reference-small-group,stdvec-reference,,,,2636434.0,ns,5240
internal-vector-addition-reference-small-group,stdvec-reference,,,,4843616.0,ns,7860
internal-vector-addition-reference-small-group,stdvec-reference,,,,6614507.0,ns,10480
internal-vector-addition-reference-small-group,stdvec-reference,,,,5871083.0,ns,13100
internal-vector-addition-reference-small-group,stdvec-reference,,,,7755711.0,ns,15720
internal-vector-addition-reference-small-group,stdvec-reference,,,,9428020.0,ns,18340
internal-vector-addition-reference-small-group,stdvec-reference,,,,8166018.0,ns,20960
internal-vector-addition-reference-small-group,stdvec-reference,,,,8827757.0,ns,23580
internal-vector-addition-reference-small-group,stdvec-reference,,,,9788895.0,ns,26200
internal-vector-addition-reference-small-group,stdvec-reference,,,,10656886.0,ns,28820
internal-vector-addition-reference-small-group,stdvec-reference,,,,11741188.0,ns,31440
internal-vector-addition-reference-small-group,stdvec-reference,,,,12741869.0,ns,34060
internal-vector-addition-reference-small-group,stdvec-reference,,,,13718947.0,ns,36680
internal-vector-addition-reference-small-group,stdvec-reference,,,,14692879.0,ns,39300
internal-vector-addition-reference-small-group,stdvec-reference,,,,15680149.0,ns,41920
internal-vector-addition-reference-small-group,stdvec-reference,,,,16626497.0,ns,44540
internal-vector-addition-reference-small-group,stdvec-reference,,,,17615949.0,ns,47160
internal-vector-addition-reference-small-group,stdvec-reference,,,,18636331.0,ns,49780
internal-vector-addition-reference-small-group,stdvec-reference,,,,19672524.0,ns,52400
internal-vector-addition-reference-small-group,stdvec-reference,,,,20578087.0,ns,55020
internal-vector-addition-reference-small-group,stdvec-reference,,,,21561749.0,ns,57640
internal-vector-addition-reference-small-group,stdvec-reference,,,,22554813.0,ns,60260
internal-vector-addition-reference-small-group,stdvec-reference,,,,23582234.0,ns,62880
internal-vector-addition-reference-small-group,stdvec-reference,,,,24533899.0,ns,65500
internal-vector-addition-reference-small-group,stdvec-reference,,,,25487504.0,ns,68120
internal-vector-addition-reference-small-group,stdvec-reference,,,,26492689.0,ns,70740
internal-vector-addition-reference-small-group,stdvec-reference,,,,27479917.0,ns,73360
internal-vector-addition-reference-small-group,stdvec-reference,,,,28380808.0,ns,75980
internal-vector-addition-reference-small-group,stdvec-reference,,,,29426748.0,ns,78600
