group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-multiplication-mutable-small-group,array-mutable,,,,989120.0,ns,2967
internal-vector-multiplication-mutable-small-group,array-mutable,,,,2070428.0,ns,5934
internal-vector-multiplication-mutable-small-group,array-mutable,,,,2983575.0,ns,8901
internal-vector-multiplication-mutable-small-group,array-mutable,,,,4013050.0,ns,11868
internal-vector-multiplication-mutable-small-group,array-mutable,,,,4976683.0,ns,14835
internal-vector-multiplication-mutable-small-group,array-mutable,,,,6720237.0,ns,17802
internal-vector-multiplication-mutable-small-group,array-mutable,,,,8510529.0,ns,20769
internal-vector-multiplication-mutable-small-group,array-mutable,,,,10822895.0,ns,23736
internal-vector-multiplication-mutable-small-group,array-mutable,,,,9047850.0,ns,26703
internal-vector-multiplication-mutable-small-group,array-mutable,,,,9875804.0,ns,29670
internal-vector-multiplication-mutable-small-group,array-mutable,,,,10866985.0,ns,32637
internal-vector-multiplication-mutable-small-group,array-mutable,,,,11836809.0,ns,35604
internal-vector-multiplication-mutable-small-group,array-mutable,,,,12839351.0,ns,38571
internal-vector-multiplication-mutable-small-group,array-mutable,,,,13871380.0,ns,41538
internal-vector-multiplication-mutable-small-group,array-mutable,,,,14794660.0,ns,44505
internal-vector-multiplication-mutable-small-group,array-mutable,,,,15774933.0,ns,47472
internal-vector-multiplication-mutable-small-group,array-mutable,,,,16783940.0,ns,50439
internal-vector-multiplication-mutable-small-group,array-mutable,,,,17757288.0,ns,53406
internal-vector-multiplication-mutable-small-group,array-mutable,,,,18725606.0,ns,56373
internal-vector-multiplication-mutable-small-group,array-mutable,,,,21229710.0,ns,59340
internal-vector-multiplication-mutable-small-group,array-mutable,,,,20702473.0,ns,62307
internal-vector-multiplication-mutable-small-group,array-mutable,,,,21674745.0,ns,65274
internal-vector-multiplication-mutable-small-group,array-mutable,,,,22654841.0,ns,68241
internal-vector-multiplication-mutable-small-group,array-mutable,,,,23763525.0,ns,71208
internal-vector-multiplication-mutable-small-group,array-mutable,,,,24706903.0,ns,74175
internal-vector-multiplication-mutable-small-group,array-mutable,,,,25882563.0,ns,77142
internal-vector-multiplication-mutable-small-group,array-mutable,,,,26665882.0,ns,80109
internal-vector-multiplication-mutable-small-group,array-mutable,,,,27661813.0,ns,83076
internal-vector-multiplication-mutable-small-group,array-mutable,,,,28574352.0,ns,86043
internal-vector-multiplication-mutable-small-group,array-mutable,,,,29562938.0,ns,89010
internal-vector-multiplication-mutable-small-group,array-mutable,,,,30541355.0,ns,91977
internal-vector-multiplication-mutable-small-group,array-mutable,,,,31551736.0,ns,94944
internal-vector-multiplication-mutable-small-group,array-mutable,,,,32529770.0,ns,97911
internal-vector-multiplication-mutable-small-group,array-mutable,,,,33521871.0,ns,100878
internal-vector-multiplication-mutable-small-group,array-mutable,,,,34554089.0,ns,103845
internal-vector-multiplication-mutable-small-group,array-mutable,,,,35468799.0,ns,106812
internal-vector-multiplication-mutable-small-group,array-mutable,,,,36461062.0,ns,109779
internal-vector-multiplication-mutable-small-group,array-mutable,,,,37485201.0,ns,112746
internal-vector-multiplication-mutable-small-group,array-mutable,,,,38449648.0,ns,115713
internal-vector-multiplication-mutable-small-group,array-mutable,,,,39486441.0,ns,118680
internal-vector-multiplication-mutable-small-group,array-mutable,,,,40496761.0,ns,121647
internal-vector-multiplication-mutable-small-group,array-mutable,,,,41375142.0,ns,124614
internal-vector-multiplication-mutable-small-group,array-mutable,,,,42437308.0,ns,127581
internal-vector-multiplication-mutable-small-group,array-mutable,,,,43387789.0,ns,130548
internal-vector-multiplication-mutable-small-group,array-mutable,,,,44431835.0,ns,133515
internal-vector-multiplication-mutable-small-group,array-mutable,,,,45407082.0,ns,136482
internal-vector-multiplication-mutable-small-group,array-mutable,,,,46362953.0,ns,139449
internal-vector-multiplication-mutable-small-group,array-mutable,,,,47411132.0,ns,142416
internal-vector-multiplication-mutable-small-group,array-mutable,,,,48308851.0,ns,145383
internal-vector-multiplication-mutable-small-group,array-mutable,,,,49344701.0,ns,148350
internal-vector-multiplication-mutable-small-group,array-mutable,,,,50361497.0,ns,151317
internal-vector-multiplication-mutable-small-group,array-mutable,,,,51275886.0,ns,154284
internal-vector-multiplication-mutable-small-group,array-mutable,,,,52212059.0,ns,157251
internal-vector-multiplication-mutable-small-group,array-mutable,,,,53240011.0,ns,160218
internal-vector-multiplication-mutable-small-group,array-mutable,,,,54182677.0,ns,163185
internal-vector-multiplication-mutable-small-group,array-mutable,,,,55286499.0,ns,166152
internal-vector-multiplication-mutable-small-group,array-mutable,,,,56280474.0,ns,169119
internal-vector-multiplication-mutable-small-group,array-mutable,,,,57142063.0,ns,172086
internal-vector-multiplication-mutable-small-group,array-mutable,,,,58172966.0,ns,175053
internal-vector-multiplication-mutable-small-group,array-mutable,,,,59160926.0,ns,178020
internal-vector-multiplication-mutable-small-group,array-mutable,,,,60140901.0,ns,180987
internal-vector-multiplication-mutable-small-group,array-mutable,,,,61095801.0,ns,183954
internal-vector-multiplication-mutable-small-group,array-mutable,,,,62116702.0,ns,186921
internal-vector-multiplication-mutable-small-group,array-mutable,,,,63529795.0,ns,189888
internal-vector-multiplication-mutable-small-group,array-mutable,,,,64128909.0,ns,192855
internal-vector-multiplication-mutable-small-group,array-mutable,,,,65228172.0,ns,195822
internal-vector-multiplication-mutable-small-group,array-mutable,,,,66111140.0,ns,198789
internal-vector-multiplication-mutable-small-group,array-mutable,,,,67113309.0,ns,201756
internal-vector-multiplication-mutable-small-group,array-mutable,,,,68049460.0,ns,204723
internal-vector-multiplication-mutable-small-group,array-mutable,,,,68972482.0,ns,207690
internal-vector-multiplication-mutable-small-group,array-mutable,,,,69956247.0,ns,210657
internal-vector-multiplication-mutable-small-group,array-mutable,,,,70990599.0,ns,213624
internal-vector-multiplication-mutable-small-group,array-mutable,,,,72038807.0,ns,216591
internal-vector-multiplication-mutable-small-group,array-mutable,,,,72959467.0,ns,219558
internal-vector-multiplication-mutable-small-group,array-mutable,,,,74066582.0,ns,222525
internal-vector-multiplication-mutable-small-group,array-mutable,,,,74953304.0,ns,225492
internal-vector-multiplication-mutable-small-group,array-mutable,,,,75916818.0,ns,228459
internal-vector-multiplication-mutable-small-group,array-mutable,,,,76960599.0,ns,231426
internal-vector-multiplication-mutable-small-group,array-mutable,,,,77917249.0,ns,234393
internal-vector-multiplication-mutable-small-group,array-mutable,,,,79019125.0,ns,237360
internal-vector-multiplication-mutable-small-group,array-mutable,,,,79903349.0,ns,240327
internal-vector-multiplication-mutable-small-group,array-mutable,,,,80946000.0,ns,243294
internal-vector-multiplication-mutable-small-group,array-mutable,,,,81824298.0,ns,246261
internal-vector-multiplication-mutable-small-group,array-mutable,,,,82804806.0,ns,249228
internal-vector-multiplication-mutable-small-group,array-mutable,,,,83823799.0,ns,252195
internal-vector-multiplication-mutable-small-group,array-mutable,,,,84828041.0,ns,255162
internal-vector-multiplication-mutable-small-group,array-mutable,,,,85709781.0,ns,258129
internal-vector-multiplication-mutable-small-group,array-mutable,,,,86770304.0,ns,261096
internal-vector-multiplication-mutable-small-group,array-mutable,,,,87778667.0,ns,264063
internal-vector-multiplication-mutable-small-group,array-mutable,,,,88969345.0,ns,267030
internal-vector-multiplication-mutable-small-group,array-mutable,,,,89792944.0,ns,269997
internal-vector-multiplication-mutable-small-group,array-mutable,,,,90905685.0,ns,272964
internal-vector-multiplication-mutable-small-group,array-mutable,,,,91841410.0,ns,275931
