group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,1035549.0,ns,2955
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,2707558.0,ns,5910
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,4695066.0,ns,8865
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,6392536.0,ns,11820
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,5653142.0,ns,14775
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,8140096.0,ns,17730
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,8467971.0,ns,20685
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,8311605.0,ns,23640
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,8984200.0,ns,26595
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,9879919.0,ns,29550
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,10871463.0,ns,32505
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,11854142.0,ns,35460
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,12841306.0,ns,38415
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,13805464.0,ns,41370
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,14789148.0,ns,44325
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,15803680.0,ns,47280
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,16763957.0,ns,50235
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,17751235.0,ns,53190
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,18729287.0,ns,56145
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,19857456.0,ns,59100
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,20725914.0,ns,62055
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,21781160.0,ns,65010
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,22679586.0,ns,67965
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,23651594.0,ns,70920
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,24634744.0,ns,73875
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,25624432.0,ns,76830
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,26615754.0,ns,79785
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,27588796.0,ns,82740
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,28590630.0,ns,85695
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,29565222.0,ns,88650
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,30562673.0,ns,91605
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,31571956.0,ns,94560
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,32611188.0,ns,97515
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,33532063.0,ns,100470
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,34529504.0,ns,103425
internal-vector-multiplication-mutable-small-group,stdvec-mutable,,,,35777661.0,ns,106380
