group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-multiplication-reference-small-group,array-reference,,,,1035411.0,ns,714
internal-vector-multiplication-reference-small-group,array-reference,,,,2037327.0,ns,1428
internal-vector-multiplication-reference-small-group,array-reference,,,,2932910.0,ns,2142
internal-vector-multiplication-reference-small-group,array-reference,,,,5753871.0,ns,2856
internal-vector-multiplication-reference-small-group,array-reference,,,,9145205.0,ns,3570
internal-vector-multiplication-reference-small-group,array-reference,,,,6619348.0,ns,4284
internal-vector-multiplication-reference-small-group,array-reference,,,,9207522.0,ns,4998
internal-vector-multiplication-reference-small-group,array-reference,,,,11416985.0,ns,5712
internal-vector-multiplication-reference-small-group,array-reference,,,,8861561.0,ns,6426
internal-vector-multiplication-reference-small-group,array-reference,,,,9803977.0,ns,7140
internal-vector-multiplication-reference-small-group,array-reference,,,,10802307.0,ns,7854
internal-vector-multiplication-reference-small-group,array-reference,,,,11788001.0,ns,8568
internal-vector-multiplication-reference-small-group,array-reference,,,,12598403.0,ns,9282
internal-vector-multiplication-reference-small-group,array-reference,,,,13721960.0,ns,9996
internal-vector-multiplication-reference-small-group,array-reference,,,,14539311.0,ns,10710
internal-vector-multiplication-reference-small-group,array-reference,,,,15591842.0,ns,11424
internal-vector-multiplication-reference-small-group,array-reference,,,,16625431.0,ns,12138
internal-vector-multiplication-reference-small-group,array-reference,,,,17596441.0,ns,12852
internal-vector-multiplication-reference-small-group,array-reference,,,,18533059.0,ns,13566
internal-vector-multiplication-reference-small-group,array-reference,,,,19611897.0,ns,14280
internal-vector-multiplication-reference-small-group,array-reference,,,,20373448.0,ns,14994
internal-vector-multiplication-reference-small-group,array-reference,,,,21625385.0,ns,15708
internal-vector-multiplication-reference-small-group,array-reference,,,,22348242.0,ns,16422
internal-vector-multiplication-reference-small-group,array-reference,,,,23301732.0,ns,17136
internal-vector-multiplication-reference-small-group,array-reference,,,,24652571.0,ns,17850
internal-vector-multiplication-reference-small-group,array-reference,,,,25656031.0,ns,18564
internal-vector-multiplication-reference-small-group,array-reference,,,,26503034.0,ns,19278
internal-vector-multiplication-reference-small-group,array-reference,,,,27497707.0,ns,19992
internal-vector-multiplication-reference-small-group,array-reference,,,,28168977.0,ns,20706
internal-vector-multiplication-reference-small-group,array-reference,,,,29239362.0,ns,21420
internal-vector-multiplication-reference-small-group,array-reference,,,,30142548.0,ns,22134
internal-vector-multiplication-reference-small-group,array-reference,,,,31211806.0,ns,22848
internal-vector-multiplication-reference-small-group,array-reference,,,,32252716.0,ns,23562
internal-vector-multiplication-reference-small-group,array-reference,,,,33103890.0,ns,24276
internal-vector-multiplication-reference-small-group,array-reference,,,,34431523.0,ns,24990
internal-vector-multiplication-reference-small-group,array-reference,,,,35117736.0,ns,25704
internal-vector-multiplication-reference-small-group,array-reference,,,,36015696.0,ns,26418
internal-vector-multiplication-reference-small-group,array-reference,,,,37153300.0,ns,27132
internal-vector-multiplication-reference-small-group,array-reference,,,,37938572.0,ns,27846
internal-vector-multiplication-reference-small-group,array-reference,,,,38858521.0,ns,28560
internal-vector-multiplication-reference-small-group,array-reference,,,,39959911.0,ns,29274
internal-vector-multiplication-reference-small-group,array-reference,,,,40726819.0,ns,29988
internal-vector-multiplication-reference-small-group,array-reference,,,,42088076.0,ns,30702
internal-vector-multiplication-reference-small-group,array-reference,,,,42857868.0,ns,31416
internal-vector-multiplication-reference-small-group,array-reference,,,,44150965.0,ns,32130
internal-vector-multiplication-reference-small-group,array-reference,,,,45092693.0,ns,32844
internal-vector-multiplication-reference-small-group,array-reference,,,,45527720.0,ns,33558
internal-vector-multiplication-reference-small-group,array-reference,,,,46806848.0,ns,34272
internal-vector-multiplication-reference-small-group,array-reference,,,,47889290.0,ns,34986
internal-vector-multiplication-reference-small-group,array-reference,,,,49303206.0,ns,35700
internal-vector-multiplication-reference-small-group,array-reference,,,,50002803.0,ns,36414
internal-vector-multiplication-reference-small-group,array-reference,,,,51039723.0,ns,37128
internal-vector-multiplication-reference-small-group,array-reference,,,,51875249.0,ns,37842
