group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,968448.0,ns,1257
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,2051864.0,ns,2514
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,2973870.0,ns,3771
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,4053451.0,ns,5028
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,4993010.0,ns,6285
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,6782008.0,ns,7542
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,9132815.0,ns,8799
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,8863019.0,ns,10056
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,9433174.0,ns,11313
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,9953594.0,ns,12570
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,10885867.0,ns,13827
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,11807527.0,ns,15084
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,12874957.0,ns,16341
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,13833837.0,ns,17598
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,14796619.0,ns,18855
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,15786687.0,ns,20112
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,16739366.0,ns,21369
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,17751638.0,ns,22626
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,18722438.0,ns,23883
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,19943284.0,ns,25140
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,20727621.0,ns,26397
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,22385115.0,ns,27654
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,22735968.0,ns,28911
internal-vector-multiplication-reference-small-group,stdvec-reference,,,,23677802.0,ns,30168
