group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-addition-reference-group,internal-array-addition,,,,977583.0,ns,704
nalgebra-vector-addition-reference-group,internal-array-addition,,,,2103301.0,ns,1408
nalgebra-vector-addition-reference-group,internal-array-addition,,,,2993859.0,ns,2112
nalgebra-vector-addition-reference-group,internal-array-addition,,,,4194835.0,ns,2816
nalgebra-vector-addition-reference-group,internal-array-addition,,,,5019822.0,ns,3520
nalgebra-vector-addition-reference-group,internal-array-addition,,,,8348465.0,ns,4224
nalgebra-vector-addition-reference-group,internal-array-addition,,,,11584040.0,ns,4928
nalgebra-vector-addition-reference-group,internal-array-addition,,,,9912891.0,ns,5632
nalgebra-vector-addition-reference-group,internal-array-addition,,,,8955214.0,ns,6336
nalgebra-vector-addition-reference-group,internal-array-addition,,,,10141632.0,ns,7040
nalgebra-vector-addition-reference-group,internal-array-addition,,,,10923723.0,ns,7744
nalgebra-vector-addition-reference-group,internal-array-addition,,,,11783331.0,ns,8448
nalgebra-vector-addition-reference-group,internal-array-addition,,,,12722870.0,ns,9152
nalgebra-vector-addition-reference-group,internal-array-addition,,,,13662351.0,ns,9856
nalgebra-vector-addition-reference-group,internal-array-addition,,,,14681506.0,ns,10560
nalgebra-vector-addition-reference-group,internal-array-addition,,,,15772263.0,ns,11264
nalgebra-vector-addition-reference-group,internal-array-addition,,,,17177708.0,ns,11968
nalgebra-vector-addition-reference-group,internal-array-addition,,,,17893407.0,ns,12672
nalgebra-vector-addition-reference-group,internal-array-addition,,,,18747756.0,ns,13376
nalgebra-vector-addition-reference-group,internal-array-addition,,,,20097453.0,ns,14080
nalgebra-vector-addition-reference-group,internal-array-addition,,,,20662785.0,ns,14784
nalgebra-vector-addition-reference-group,internal-array-addition,,,,21733251.0,ns,15488
nalgebra-vector-addition-reference-group,internal-array-addition,,,,22889079.0,ns,16192
nalgebra-vector-addition-reference-group,internal-array-addition,,,,23529576.0,ns,16896
nalgebra-vector-addition-reference-group,internal-array-addition,,,,24493319.0,ns,17600
nalgebra-vector-addition-reference-group,internal-array-addition,,,,25651041.0,ns,18304
nalgebra-vector-addition-reference-group,internal-array-addition,,,,26755789.0,ns,19008
nalgebra-vector-addition-reference-group,internal-array-addition,,,,27662456.0,ns,19712
nalgebra-vector-addition-reference-group,internal-array-addition,,,,28734497.0,ns,20416
nalgebra-vector-addition-reference-group,internal-array-addition,,,,29602128.0,ns,21120
nalgebra-vector-addition-reference-group,internal-array-addition,,,,30626700.0,ns,21824
nalgebra-vector-addition-reference-group,internal-array-addition,,,,31337276.0,ns,22528
nalgebra-vector-addition-reference-group,internal-array-addition,,,,32390359.0,ns,23232
nalgebra-vector-addition-reference-group,internal-array-addition,,,,33316528.0,ns,23936
