group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,943235.0,ns,2123
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,2449451.0,ns,4246
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,4309992.0,ns,6369
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,5638994.0,ns,8492
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,5249347.0,ns,10615
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,7011641.0,ns,12738
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,8488528.0,ns,14861
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,7995608.0,ns,16984
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,8861064.0,ns,19107
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,9813352.0,ns,21230
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,10691440.0,ns,23353
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,11825953.0,ns,25476
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,12725728.0,ns,27599
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,13720384.0,ns,29722
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,14710188.0,ns,31845
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,15692878.0,ns,33968
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,16525043.0,ns,36091
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,17508290.0,ns,38214
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,18720564.0,ns,40337
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,19708086.0,ns,42460
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,20465197.0,ns,44583
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,21699168.0,ns,46706
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,22591010.0,ns,48829
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,23572150.0,ns,50952
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,24507843.0,ns,53075
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,25515339.0,ns,55198
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,26513034.0,ns,57321
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,27482549.0,ns,59444
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,28425572.0,ns,61567
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,29483432.0,ns,63690
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,30542454.0,ns,65813
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,31344025.0,ns,67936
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,32355750.0,ns,70059
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,33428926.0,ns,72182
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,34389717.0,ns,74305
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,35259800.0,ns,76428
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,36375467.0,ns,78551
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,37091207.0,ns,80674
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,38425862.0,ns,82797
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,39319588.0,ns,84920
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,40272604.0,ns,87043
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,41291068.0,ns,89166
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,42224391.0,ns,91289
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,43397252.0,ns,93412
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,44251754.0,ns,95535
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,45215839.0,ns,97658
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,46226014.0,ns,99781
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,47102667.0,ns,101904
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,48149488.0,ns,104027
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,48844978.0,ns,106150
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,50159993.0,ns,108273
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,51225603.0,ns,110396
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,52109972.0,ns,112519
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,53053414.0,ns,114642
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,54089361.0,ns,116765
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,55073829.0,ns,118888
nalgebra-vector-addition-reference-group,internal-stdvec-addition,,,,56073316.0,ns,121011
