group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,921984.0,ns,2135
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,1987122.0,ns,4270
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,2907288.0,ns,6405
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,4008438.0,ns,8540
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,4865163.0,ns,10675
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,7461054.0,ns,12810
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,8520037.0,ns,14945
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,8139209.0,ns,17080
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,8956527.0,ns,19215
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,9853144.0,ns,21350
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,10852111.0,ns,23485
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,11735831.0,ns,25620
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,12795504.0,ns,27755
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,13726890.0,ns,29890
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,14776963.0,ns,32025
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,15743826.0,ns,34160
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,16742100.0,ns,36295
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,17743468.0,ns,38430
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,18699151.0,ns,40565
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,20908592.0,ns,42700
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,20700879.0,ns,44835
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,21831592.0,ns,46970
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,22721807.0,ns,49105
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,23650320.0,ns,51240
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,24617283.0,ns,53375
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,25657920.0,ns,55510
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,26762773.0,ns,57645
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,27589605.0,ns,59780
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,28601278.0,ns,61915
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,29635478.0,ns,64050
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,30576414.0,ns,66185
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,31561054.0,ns,68320
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,32710409.0,ns,70455
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,33654316.0,ns,72590
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,34316792.0,ns,74725
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,35507978.0,ns,76860
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,36490060.0,ns,78995
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,37478361.0,ns,81130
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,38346291.0,ns,83265
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,39441316.0,ns,85400
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,40496672.0,ns,87535
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,41435724.0,ns,89670
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,42363367.0,ns,91805
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,43586332.0,ns,93940
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,44431514.0,ns,96075
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,45376395.0,ns,98210
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,46295353.0,ns,100345
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,47182147.0,ns,102480
nalgebra-vector-addition-reference-group,nalgebra-vector-addition,,,,48425591.0,ns,104615
