group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,892916.0,ns,3327
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,2179556.0,ns,6654
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,3870870.0,ns,9981
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,5156578.0,ns,13308
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,6590964.0,ns,16635
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,6908429.0,ns,19962
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,8820492.0,ns,23289
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,8916432.0,ns,26616
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,8795025.0,ns,29943
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,9576104.0,ns,33270
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,10799243.0,ns,36597
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,11786677.0,ns,39924
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,12765861.0,ns,43251
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,13760826.0,ns,46578
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,14432759.0,ns,49905
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,15726289.0,ns,53232
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,16663985.0,ns,56559
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,17718917.0,ns,59886
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,18491711.0,ns,63213
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,19705195.0,ns,66540
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,20683449.0,ns,69867
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,21670615.0,ns,73194
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,22658540.0,ns,76521
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,23658621.0,ns,79848
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,24694955.0,ns,83175
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,25670216.0,ns,86502
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,26555207.0,ns,89829
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,27149726.0,ns,93156
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,28286224.0,ns,96483
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,29499097.0,ns,99810
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,30581851.0,ns,103137
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,31591303.0,ns,106464
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,32508736.0,ns,109791
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,33474041.0,ns,113118
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,34589106.0,ns,116445
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,35463647.0,ns,119772
nalgebra-vector-additional-mutable-group,internal-array-addition,,,,36419340.0,ns,123099
