group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,981244.0,ns,3796
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,2049553.0,ns,7592
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,2952113.0,ns,11388
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,4066334.0,ns,15184
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,5036328.0,ns,18980
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,8596430.0,ns,22776
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,8588338.0,ns,26572
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,8070161.0,ns,30368
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,9212071.0,ns,34164
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,9902692.0,ns,37960
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,10828766.0,ns,41756
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,11839945.0,ns,45552
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,12794498.0,ns,49348
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,13757875.0,ns,53144
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,14751741.0,ns,56940
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,15734294.0,ns,60736
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,16747324.0,ns,64532
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,17700125.0,ns,68328
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,18676795.0,ns,72124
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,22600042.0,ns,75920
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,20627305.0,ns,79716
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,21723460.0,ns,83512
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,22613052.0,ns,87308
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,23660358.0,ns,91104
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,24616682.0,ns,94900
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,25596894.0,ns,98696
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,26533927.0,ns,102492
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,27515253.0,ns,106288
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,28560534.0,ns,110084
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,33428849.0,ns,113880
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,30468570.0,ns,117676
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,31809200.0,ns,121472
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,32502217.0,ns,125268
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,33483344.0,ns,129064
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,34749929.0,ns,132860
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,35489734.0,ns,136656
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,36367586.0,ns,140452
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,37363300.0,ns,144248
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,38332436.0,ns,148044
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,39446538.0,ns,151840
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,40398803.0,ns,155636
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,41278672.0,ns,159432
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,42292346.0,ns,163228
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,43247353.0,ns,167024
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,44629450.0,ns,170820
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,45309888.0,ns,174616
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,46198180.0,ns,178412
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,47173253.0,ns,182208
nalgebra-vector-additional-mutable-group,internal-stdvec-addition,,,,48124727.0,ns,186004
