group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,992877.0,ns,3854
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,2017089.0,ns,7708
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,3003318.0,ns,11562
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,4044277.0,ns,15416
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,4977856.0,ns,19270
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,7625459.0,ns,23124
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,8488242.0,ns,26978
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,8015082.0,ns,30832
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,9334714.0,ns,34686
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,9920741.0,ns,38540
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,10847757.0,ns,42394
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,11859725.0,ns,46248
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,12868689.0,ns,50102
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,13924092.0,ns,53956
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,14818000.0,ns,57810
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,15780479.0,ns,61664
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,16758230.0,ns,65518
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,17790752.0,ns,69372
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,18755631.0,ns,73226
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,20954812.0,ns,77080
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,20718450.0,ns,80934
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,21694534.0,ns,84788
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,22696559.0,ns,88642
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,23889207.0,ns,92496
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,24672885.0,ns,96350
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,25639592.0,ns,100204
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,26641629.0,ns,104058
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,27655787.0,ns,107912
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,28580887.0,ns,111766
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,29634253.0,ns,115620
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,30555633.0,ns,119474
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,31560256.0,ns,123328
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,32532003.0,ns,127182
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,33501945.0,ns,131036
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,34506264.0,ns,134890
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,35807341.0,ns,138744
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,36645846.0,ns,142598
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,37549962.0,ns,146452
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,38439522.0,ns,150306
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,39417702.0,ns,154160
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,40413256.0,ns,158014
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,41420942.0,ns,161868
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,42426574.0,ns,165722
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,43378798.0,ns,169576
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,44343407.0,ns,173430
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,45338873.0,ns,177284
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,46327539.0,ns,181138
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,47318357.0,ns,184992
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,48321434.0,ns,188846
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,49309934.0,ns,192700
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,50357440.0,ns,196554
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,51293804.0,ns,200408
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,52304456.0,ns,204262
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,53276635.0,ns,208116
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,54232700.0,ns,211970
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,55193147.0,ns,215824
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,56189588.0,ns,219678
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,57157873.0,ns,223532
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,58184167.0,ns,227386
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,59114752.0,ns,231240
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,60132181.0,ns,235094
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,61237992.0,ns,238948
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,62114564.0,ns,242802
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,63061503.0,ns,246656
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,64110868.0,ns,250510
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,65148713.0,ns,254364
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,66096427.0,ns,258218
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,67044088.0,ns,262072
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,68245612.0,ns,265926
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,69040535.0,ns,269780
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,70107658.0,ns,273634
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,70967936.0,ns,277488
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,71996992.0,ns,281342
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,73016959.0,ns,285196
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,73916788.0,ns,289050
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,75111179.0,ns,292904
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,75896515.0,ns,296758
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,76897599.0,ns,300612
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,77936638.0,ns,304466
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,78889979.0,ns,308320
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,79902358.0,ns,312174
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,80842769.0,ns,316028
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,82082006.0,ns,319882
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,82810340.0,ns,323736
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,83794090.0,ns,327590
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,84932571.0,ns,331444
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,85846178.0,ns,335298
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,86725467.0,ns,339152
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,87940814.0,ns,343006
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,88761674.0,ns,346860
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,89739151.0,ns,350714
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,90799766.0,ns,354568
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,91771410.0,ns,358422
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,92728707.0,ns,362276
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,93669461.0,ns,366130
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,94605691.0,ns,369984
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,95584829.0,ns,373838
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,96609636.0,ns,377692
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,97586207.0,ns,381546
nalgebra-vector-additional-mutable-group,nalgebra-vector-addition,,,,98656094.0,ns,385400
