group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,932414.0,ns,4200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,1947706.0,ns,8400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,2806336.0,ns,12600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,3779661.0,ns,16800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,4721600.0,ns,21000
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,7434380.0,ns,25200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,8880017.0,ns,29400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,8306796.0,ns,33600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,8473742.0,ns,37800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,9356595.0,ns,42000
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,10309203.0,ns,46200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,11168266.0,ns,50400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,12184249.0,ns,54600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,13093222.0,ns,58800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,14021512.0,ns,63000
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,15061723.0,ns,67200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,15895858.0,ns,71400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,16837831.0,ns,75600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,17792632.0,ns,79800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,18691824.0,ns,84000
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,22592558.0,ns,88200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,22046791.0,ns,92400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,27025476.0,ns,96600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,24458515.0,ns,100800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,23904764.0,ns,105000
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,24393108.0,ns,109200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,25263569.0,ns,113400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,26213385.0,ns,117600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,27123105.0,ns,121800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,28153903.0,ns,126000
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,29597322.0,ns,130200
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,30079889.0,ns,134400
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,30858869.0,ns,138600
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,32768259.0,ns,142800
nalgebra-vector-additive-inverse-mutable-group,internal-array-vector-additive-inverse-mutable,,,,33739860.0,ns,147000
