group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,1252988.0,ns,4588
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,1919145.0,ns,9176
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,2758179.0,ns,13764
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,3692866.0,ns,18352
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,4580448.0,ns,22940
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,7076105.0,ns,27528
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,8275194.0,ns,32116
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,7370868.0,ns,36704
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,8540536.0,ns,41292
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,9221584.0,ns,45880
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,10024797.0,ns,50468
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,10877659.0,ns,55056
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,11765742.0,ns,59644
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,12675313.0,ns,64232
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,13569533.0,ns,68820
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,14476371.0,ns,73408
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,15379675.0,ns,77996
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,16283306.0,ns,82584
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,17196147.0,ns,87172
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,18527508.0,ns,91760
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,20175358.0,ns,96348
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,21122406.0,ns,100936
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,26455157.0,ns,105524
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,26200693.0,ns,110112
nalgebra-vector-additive-inverse-mutable-group,internal-stdvec-vector-additive-inverse-mutable,,,,26207351.0,ns,114700
