group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,985422.0,ns,581
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,2017269.0,ns,1162
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,2921441.0,ns,1743
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,4025701.0,ns,2324
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,4939547.0,ns,2905
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,6733024.0,ns,3486
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,8093422.0,ns,4067
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,8740024.0,ns,4648
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,8839635.0,ns,5229
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,9768950.0,ns,5810
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,10728759.0,ns,6391
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,11685024.0,ns,6972
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,12690055.0,ns,7553
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,13658158.0,ns,8134
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,14598725.0,ns,8715
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,15540618.0,ns,9296
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,16472233.0,ns,9877
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,17499494.0,ns,10458
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,18579799.0,ns,11039
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,19516664.0,ns,11620
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,20581857.0,ns,12201
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,21466920.0,ns,12782
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,22442334.0,ns,13363
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,23328276.0,ns,13944
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,24343169.0,ns,14525
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,25341314.0,ns,15106
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,26342424.0,ns,15687
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,27371133.0,ns,16268
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,28304033.0,ns,16849
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,29295663.0,ns,17430
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,30282263.0,ns,18011
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,31638899.0,ns,18592
nalgebra-vector-additive-inverse-mutable-group,nalgebra-vector-additive-inverse-mutable,,,,32313195.0,ns,19173
