group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,897134.0,ns,717
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,1861139.0,ns,1434
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,2737340.0,ns,2151
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,3636776.0,ns,2868
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,5360628.0,ns,3585
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,6290002.0,ns,4302
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,9364365.0,ns,5019
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,11033967.0,ns,5736
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,9693128.0,ns,6453
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,9118032.0,ns,7170
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,10331863.0,ns,7887
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,10983822.0,ns,8604
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,11650678.0,ns,9321
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,12645528.0,ns,10038
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,13436434.0,ns,10755
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,14374757.0,ns,11472
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,15017855.0,ns,12189
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,16182971.0,ns,12906
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,16899056.0,ns,13623
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,20773911.0,ns,14340
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,30503960.0,ns,15057
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,24657033.0,ns,15774
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,25584972.0,ns,16491
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,24034365.0,ns,17208
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,27584850.0,ns,17925
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,26454850.0,ns,18642
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,27715755.0,ns,19359
nalgebra-vector-additive-inverse-reference-group,internal-array-vector-additive-inverse-reference,,,,30593001.0,ns,20076
