group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,1630529.0,ns,3125
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,3238131.0,ns,6250
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,5258896.0,ns,9375
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,6586687.0,ns,12500
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,8937011.0,ns,15625
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,10766814.0,ns,18750
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,11820559.0,ns,21875
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,13439371.0,ns,25000
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,15907655.0,ns,28125
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,16752536.0,ns,31250
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,18735334.0,ns,34375
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,19708310.0,ns,37500
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,21949884.0,ns,40625
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,23154486.0,ns,43750
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,25254701.0,ns,46875
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,26090183.0,ns,50000
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,29328701.0,ns,53125
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,30716013.0,ns,56250
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,32553368.0,ns,59375
nalgebra-vector-additive-inverse-reference-group,internal-stdvec-vector-additive-inverse-reference,,,,33778370.0,ns,62500
