group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,985065.0,ns,583
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,2051806.0,ns,1166
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,2982819.0,ns,1749
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,4065637.0,ns,2332
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,5037975.0,ns,2915
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,7137538.0,ns,3498
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,8747853.0,ns,4081
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,8113448.0,ns,4664
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,9156561.0,ns,5247
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,9970617.0,ns,5830
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,10920043.0,ns,6413
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,11864248.0,ns,6996
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,12834327.0,ns,7579
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,13792146.0,ns,8162
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,14875138.0,ns,8745
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,15784056.0,ns,9328
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,17070839.0,ns,9911
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,17842286.0,ns,10494
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,18810037.0,ns,11077
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,19856743.0,ns,11660
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,20734169.0,ns,12243
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,21694619.0,ns,12826
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,22827975.0,ns,13409
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,23960525.0,ns,13992
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,24995256.0,ns,14575
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,25856084.0,ns,15158
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,28318041.0,ns,15741
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,28955678.0,ns,16324
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,28986728.0,ns,16907
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,29940506.0,ns,17490
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,31045910.0,ns,18073
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,31915052.0,ns,18656
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,32954518.0,ns,19239
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,34019490.0,ns,19822
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,34884048.0,ns,20405
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,35912522.0,ns,20988
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,36986095.0,ns,21571
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,39117885.0,ns,22154
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,39054181.0,ns,22737
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,41565885.0,ns,23320
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,42310475.0,ns,23903
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,42079613.0,ns,24486
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,42936251.0,ns,25069
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,43687436.0,ns,25652
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,44379368.0,ns,26235
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,45545269.0,ns,26818
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,46411651.0,ns,27401
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,47327418.0,ns,27984
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,48549190.0,ns,28567
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,49710091.0,ns,29150
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,50804957.0,ns,29733
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,51666248.0,ns,30316
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,52767897.0,ns,30899
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,53792847.0,ns,31482
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,54898841.0,ns,32065
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,56916608.0,ns,32648
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,57423489.0,ns,33231
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,57565884.0,ns,33814
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,58374815.0,ns,34397
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,59869759.0,ns,34980
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,60639577.0,ns,35563
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,64970047.0,ns,36146
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,62596750.0,ns,36729
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,63299985.0,ns,37312
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,64437491.0,ns,37895
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,65315724.0,ns,38478
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,66499995.0,ns,39061
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,71512697.0,ns,39644
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,72043237.0,ns,40227
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,76045646.0,ns,40810
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,78361253.0,ns,41393
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,77149539.0,ns,41976
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,72596312.0,ns,42559
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,73836060.0,ns,43142
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,76399749.0,ns,43725
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,76813329.0,ns,44308
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,77301188.0,ns,44891
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,83465656.0,ns,45474
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,78284962.0,ns,46057
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,85736665.0,ns,46640
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,86887007.0,ns,47223
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,85382574.0,ns,47806
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,82485126.0,ns,48389
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,83080513.0,ns,48972
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,84180407.0,ns,49555
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,85267093.0,ns,50138
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,85865810.0,ns,50721
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,86936536.0,ns,51304
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,87953436.0,ns,51887
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,88909472.0,ns,52470
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,92112560.0,ns,53053
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,91091201.0,ns,53636
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,92121494.0,ns,54219
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,93015947.0,ns,54802
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,95155433.0,ns,55385
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,98061844.0,ns,55968
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,97439401.0,ns,56551
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,98753997.0,ns,57134
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,100031900.0,ns,57717
nalgebra-vector-additive-inverse-reference-group,nalgebra-vector-additive-inverse-reference,,,,99568496.0,ns,58300
