group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,1032947.0,ns,2969
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,2687530.0,ns,5938
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,4673109.0,ns,8907
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,6352021.0,ns,11876
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,5585194.0,ns,14845
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,6528028.0,ns,17814
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,9720217.0,ns,20783
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,9164324.0,ns,23752
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,8953795.0,ns,26721
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,9959082.0,ns,29690
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,10935075.0,ns,32659
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,11854294.0,ns,35628
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,12822598.0,ns,38597
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,13801987.0,ns,41566
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,14837836.0,ns,44535
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,15775648.0,ns,47504
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,16762025.0,ns,50473
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,17764477.0,ns,53442
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,18744493.0,ns,56411
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,21222908.0,ns,59380
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,20701276.0,ns,62349
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,21784438.0,ns,65318
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,22695634.0,ns,68287
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,23662956.0,ns,71256
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,24668170.0,ns,74225
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,26106423.0,ns,77194
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,26706542.0,ns,80163
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,27612970.0,ns,83132
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,28689646.0,ns,86101
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,29605058.0,ns,89070
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,30560478.0,ns,92039
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,31569056.0,ns,95008
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,32526880.0,ns,97977
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,33615875.0,ns,100946
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,34547405.0,ns,103915
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,35530405.0,ns,106884
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,36538203.0,ns,109853
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,37488313.0,ns,112822
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,38477923.0,ns,115791
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,39498934.0,ns,118760
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,40666248.0,ns,121729
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,41431389.0,ns,124698
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,42490346.0,ns,127667
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,43498354.0,ns,130636
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,44348006.0,ns,133605
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,45373417.0,ns,136574
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,46354998.0,ns,139543
nalgebra-vector-multiplication-mutable-group,internal-array-multiplication-mutable,,,,47350678.0,ns,142512
