group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,994652.0,ns,2954
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,2034039.0,ns,5908
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,2972551.0,ns,8862
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,4029123.0,ns,11816
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,4966921.0,ns,14770
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,7568758.0,ns,17724
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,8245491.0,ns,20678
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,8982108.0,ns,23632
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,8977175.0,ns,26586
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,9908427.0,ns,29540
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,10897656.0,ns,32494
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,11851024.0,ns,35448
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,13019112.0,ns,38402
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,13863554.0,ns,41356
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,14808277.0,ns,44310
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,15778345.0,ns,47264
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,16766105.0,ns,50218
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,17760608.0,ns,53172
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,18764772.0,ns,56126
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,21833608.0,ns,59080
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,20741489.0,ns,62034
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,21719203.0,ns,64988
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,22752052.0,ns,67942
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,23683604.0,ns,70896
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,24678071.0,ns,73850
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,25636234.0,ns,76804
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,26665285.0,ns,79758
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,27631951.0,ns,82712
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,28593326.0,ns,85666
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,29706598.0,ns,88620
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,30579098.0,ns,91574
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,31563365.0,ns,94528
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,32545891.0,ns,97482
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,33536178.0,ns,100436
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,34828227.0,ns,103390
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,35515019.0,ns,106344
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,36572225.0,ns,109298
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,37491481.0,ns,112252
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,38481420.0,ns,115206
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,39461302.0,ns,118160
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,40426681.0,ns,121114
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,41475063.0,ns,124068
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,42403457.0,ns,127022
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,43389526.0,ns,129976
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,44373136.0,ns,132930
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,45365105.0,ns,135884
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,46341478.0,ns,138838
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,47409338.0,ns,141792
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,48423228.0,ns,144746
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,49344447.0,ns,147700
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,50510068.0,ns,150654
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,51304670.0,ns,153608
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,52267522.0,ns,156562
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,53366442.0,ns,159516
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,54226760.0,ns,162470
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,55235701.0,ns,165424
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,56220268.0,ns,168378
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,57183225.0,ns,171332
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,58191175.0,ns,174286
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,59191255.0,ns,177240
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,60270553.0,ns,180194
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,61341465.0,ns,183148
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,62127680.0,ns,186102
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,63109948.0,ns,189056
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,64180772.0,ns,192010
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,65115012.0,ns,194964
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,66161280.0,ns,197918
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,67178255.0,ns,200872
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,68061780.0,ns,203826
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,69125571.0,ns,206780
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,70347433.0,ns,209734
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,71018461.0,ns,212688
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,71979220.0,ns,215642
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,73010420.0,ns,218596
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,74012971.0,ns,221550
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,75029847.0,ns,224504
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,75939468.0,ns,227458
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,76909127.0,ns,230412
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,78240468.0,ns,233366
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,79006806.0,ns,236320
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,80099188.0,ns,239274
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,80943634.0,ns,242228
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,81953839.0,ns,245182
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,82877643.0,ns,248136
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,83870336.0,ns,251090
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,84909038.0,ns,254044
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,85868802.0,ns,256998
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,86899945.0,ns,259952
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,87764840.0,ns,262906
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,88774650.0,ns,265860
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,89794587.0,ns,268814
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,90842590.0,ns,271768
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,91842190.0,ns,274722
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,92742250.0,ns,277676
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,93807661.0,ns,280630
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,94658189.0,ns,283584
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,95650455.0,ns,286538
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,96662157.0,ns,289492
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,98943699.0,ns,292446
nalgebra-vector-multiplication-mutable-group,internal-stdvec-multiplication-mutable,,,,98648636.0,ns,295400
