group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,972635.0,ns,1656
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,2030815.0,ns,3312
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,3084948.0,ns,4968
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,4033972.0,ns,6624
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,5080239.0,ns,8280
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,6867215.0,ns,9936
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,8643610.0,ns,11592
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,8675112.0,ns,13248
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,9310678.0,ns,14904
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,10006040.0,ns,16560
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,10934447.0,ns,18216
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,11897339.0,ns,19872
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,12881085.0,ns,21528
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,13936340.0,ns,23184
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,14880577.0,ns,24840
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,15928635.0,ns,26496
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,16789236.0,ns,28152
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,17725898.0,ns,29808
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,18884962.0,ns,31464
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,20619388.0,ns,33120
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,20634552.0,ns,34776
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,21755360.0,ns,36432
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,22775139.0,ns,38088
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,23712310.0,ns,39744
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,24607394.0,ns,41400
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,25545376.0,ns,43056
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,26587889.0,ns,44712
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,27618226.0,ns,46368
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,28746903.0,ns,48024
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,29507671.0,ns,49680
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,30529366.0,ns,51336
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,31572505.0,ns,52992
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,32576129.0,ns,54648
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,33572647.0,ns,56304
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,34734188.0,ns,57960
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,35624862.0,ns,59616
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,36522387.0,ns,61272
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,37588244.0,ns,62928
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,38620637.0,ns,64584
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,39462776.0,ns,66240
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,41657729.0,ns,67896
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,41635545.0,ns,69552
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,43754818.0,ns,71208
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,43398971.0,ns,72864
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,44733936.0,ns,74520
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,45343882.0,ns,76176
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,46402814.0,ns,77832
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,47250558.0,ns,79488
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,48576125.0,ns,81144
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,49838066.0,ns,82800
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,50368656.0,ns,84456
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,51337097.0,ns,86112
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,53019214.0,ns,87768
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,53303934.0,ns,89424
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,54178242.0,ns,91080
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,55242929.0,ns,92736
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,56370268.0,ns,94392
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,57332245.0,ns,96048
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,58232701.0,ns,97704
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,59109203.0,ns,99360
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,60391801.0,ns,101016
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,62103202.0,ns,102672
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,62266283.0,ns,104328
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,63028385.0,ns,105984
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,64100037.0,ns,107640
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,65433164.0,ns,109296
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,66058776.0,ns,110952
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,67006625.0,ns,112608
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,68024483.0,ns,114264
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,69932908.0,ns,115920
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,70026792.0,ns,117576
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,71227312.0,ns,119232
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,72235699.0,ns,120888
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,73453153.0,ns,122544
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,73955606.0,ns,124200
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,75095842.0,ns,125856
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,76875441.0,ns,127512
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,77232292.0,ns,129168
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,77717223.0,ns,130824
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,79107135.0,ns,132480
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,80228436.0,ns,134136
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,80873340.0,ns,135792
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,82681275.0,ns,137448
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,82820804.0,ns,139104
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,84177518.0,ns,140760
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,84942440.0,ns,142416
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,85906088.0,ns,144072
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,86792390.0,ns,145728
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,88455988.0,ns,147384
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,89094623.0,ns,149040
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,89960272.0,ns,150696
nalgebra-vector-multiplication-mutable-group,nalgebra-vector-multiplication-mutable,,,,90814987.0,ns,152352
