group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,984649.0,ns,723
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,2088367.0,ns,1446
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,2883285.0,ns,2169
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,4013485.0,ns,2892
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,4913310.0,ns,3615
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,8122518.0,ns,4338
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,11687735.0,ns,5061
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,9034375.0,ns,5784
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,9561280.0,ns,6507
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,9757217.0,ns,7230
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,10763994.0,ns,7953
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,11713755.0,ns,8676
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,12741687.0,ns,9399
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,13608653.0,ns,10122
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,14599186.0,ns,10845
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,15652978.0,ns,11568
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,16530050.0,ns,12291
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,17595806.0,ns,13014
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,18759061.0,ns,13737
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,22934858.0,ns,14460
nalgebra-vector-multiplication-reference-group,internal-array-multiplication-reference,,,,20812925.0,ns,15183
