group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,980324.0,ns,1258
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,2015019.0,ns,2516
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,3043442.0,ns,3774
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,4001754.0,ns,5032
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,4934145.0,ns,6290
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,8029197.0,ns,7548
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,7759221.0,ns,8806
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,9344704.0,ns,10064
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,8926492.0,ns,11322
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,10003321.0,ns,12580
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,10797916.0,ns,13838
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,11792411.0,ns,15096
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,12743885.0,ns,16354
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,13972464.0,ns,17612
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,14805447.0,ns,18870
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,15672617.0,ns,20128
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,16648966.0,ns,21386
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,17640043.0,ns,22644
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,18584261.0,ns,23902
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,21089228.0,ns,25160
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,20586700.0,ns,26418
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,21988843.0,ns,27676
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,22738508.0,ns,28934
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,23489856.0,ns,30192
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,24479231.0,ns,31450
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,25429754.0,ns,32708
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,26391575.0,ns,33966
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,27418596.0,ns,35224
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,28415869.0,ns,36482
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,29337373.0,ns,37740
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,30416325.0,ns,38998
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,31355143.0,ns,40256
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,32208895.0,ns,41514
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,33259632.0,ns,42772
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,34290327.0,ns,44030
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,35242437.0,ns,45288
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,36268049.0,ns,46546
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,37272087.0,ns,47804
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,38189534.0,ns,49062
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,39164754.0,ns,50320
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,40453703.0,ns,51578
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,41179497.0,ns,52836
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,42216164.0,ns,54094
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,43143561.0,ns,55352
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,44034113.0,ns,56610
nalgebra-vector-multiplication-reference-group,internal-stdvec-multiplication-reference,,,,45335918.0,ns,57868
