group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,986533.0,ns,1777
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,2011850.0,ns,3554
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,2822655.0,ns,5331
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,3981034.0,ns,7108
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,4967784.0,ns,8885
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,7159533.0,ns,10662
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,8127691.0,ns,12439
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,8246899.0,ns,14216
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,8953689.0,ns,15993
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,9883948.0,ns,17770
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,10858987.0,ns,19547
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,11846641.0,ns,21324
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,12817028.0,ns,23101
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,13807831.0,ns,24878
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,14807924.0,ns,26655
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,15813977.0,ns,28432
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,16755284.0,ns,30209
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,17742086.0,ns,31986
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,18732166.0,ns,33763
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,20597032.0,ns,35540
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,20698964.0,ns,37317
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,21756702.0,ns,39094
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,22714256.0,ns,40871
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,23685575.0,ns,42648
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,24643730.0,ns,44425
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,25659553.0,ns,46202
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,26761627.0,ns,47979
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,27630364.0,ns,49756
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,28785889.0,ns,51533
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,29679548.0,ns,53310
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,30496183.0,ns,55087
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,31548736.0,ns,56864
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,32685355.0,ns,58641
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,33332113.0,ns,60418
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,34508653.0,ns,62195
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,35516010.0,ns,63972
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,36562718.0,ns,65749
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,37281681.0,ns,67526
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,38591933.0,ns,69303
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,39455008.0,ns,71080
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,40493711.0,ns,72857
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,41581645.0,ns,74634
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,42398296.0,ns,76411
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,44227432.0,ns,78188
nalgebra-vector-multiplication-reference-group,nalgebra-vector-multiplication-reference,,,,44370888.0,ns,79965
